campaign_id,url,title,subtitle,overview_text,details_text,required_amount_raw,paid_amount_raw,left_amount_raw,required_amount,paid_amount,left_amount,donations_count,comments_count,updates_count,shares_count,image_url,year_detected,year_source,date_status,scraped_at
1,https://molhamteam.com/en/campaigns/1,Razan's Fund for Cancer Patients,,"Razan's Fund for Cancer Patients
International relief organizations have discontinued support for Syrian refugees diagnosed with cancer. It is nearly impossible for refugees to afford treatment on their own. For that purpose, the team established Razan’s Fund for Cancer Patients, which currently sponsors a number of Syrian patients in Lebanon, Jordan, Turkey, and Syria.","International relief organizations have discontinued support for Syrian refugees diagnosed with cancer. It is nearly impossible for refugees to afford treatment on their own. For that purpose, the team established Razan’s Fund for Cancer Patients, which currently sponsors a number of Syrian patients in Lebanon, Jordan, Turkey, and Syria.",66176,66177,-1,66176,66177,-1,509,0,0,0,/og_default.jpeg,2015,publishing_date,certain,2026-04-22T09:27:25.409308+00:00
2,https://molhamteam.com/en/campaigns/2,Education Fund,,"Hundreds of thousands of Syrian children no longer attend school due to displacement. And large numbers of Syrian university students are unable to graduate because they cannot afford their last tuition installment. Through the Education Fund, we aim to provide tuition assistance to Syrian students of all ages.",,99777,99777,0,99777,99777,0,239,0,0,0,/og_default.jpeg,2015,publishing_date,certain,2026-04-22T09:27:25.427904+00:00
3,https://molhamteam.com/en/campaigns/3,Medical Emergencies Fund,,The Team receives a number of medical cases that require immediate assistance in countries of refuge. Thus we allocate funds that enable us to address their needs promptly.,,49551,49551,0,49551,49551,0,476,0,0,0,/og_default.jpeg,2015,publishing_date,certain,2026-04-22T09:27:25.447792+00:00
4,https://molhamteam.com/en/campaigns/4,Dialysis Fund,,This fund was established to help impoverished dialysis patients in rural areas receive the care they need by covering the cost of transportation to free dialysis centers.,,11591,11591,0,11591,11591,0,149,0,0,0,https://cdn.molhamteam.com/i/rwMkQVNZTc7V98M7XeEp_thumb_1:1.jpg,2015,publishing_date,certain,2026-04-22T09:27:25.467404+00:00
5,https://molhamteam.com/en/campaigns/5,Drinking Water Campaign,,A large number of families in Aleppo lost their primary providers and are unable to get water to their homes. The Team dedicated a vehicle for the purpose of delivering and filling their water tanks with drinking water every other day.,,41343,41343,0,41343,41343,0,124,0,0,0,/og_default.jpeg,2015,publishing_date,certain,2026-04-22T09:27:25.485102+00:00
6,https://molhamteam.com/en/campaigns/6,Give Warmth 9,,"This recurrent winter campaign aims to provide firelogs and diesel to families in Syria and in countries of asylum. As well as winter clothes and boots especially for children. The campaign will help families in Eastern and Western Ghouta, Hama, Idlib, and Lattakia Countrysides in Syria. In addition to Irsal and Beqa'a refugee camps in Lebanon and Za'atari Camp in Jordan.",,183408,183408,0,183408,183408,0,680,0,0,0,/og_default.jpeg,2015,publishing_date,certain,2026-04-22T09:27:25.505473+00:00
7,https://molhamteam.com/en/campaigns/7,Madaya- Supplying Food to Besieged Cities,,"Madaya- Supplying Food to Besieged Cities
Madaya is a city located about 40 kilometers from the capital, Damascus. It has been under siege for over 5 months. 40,000 civilians are currently in the besieged city, including 20,000 displaced residents of the nearby Zabadani. Madaya has been suffering from an extreme shortage of food and medical supplies for nearly 4 months. Its residents have had to eat leaves to survive. Over 100 cases of loss of consciousness are reported daily due to severe starvation. Men, women, and children are unable to purchase food since prices have skyrocketed. 1 kg of rice now costs over $150. Molham Volunteering Team is working on providing food to the besieged city of Madaya, and will deliver all funds received to its desperately-needing residents.","Madaya is a city located about 40 kilometers from the capital, Damascus. It has been under siege for over 5 months. 40,000 civilians are currently in the besieged city, including 20,000 displaced residents of the nearby Zabadani. Madaya has been suffering from an extreme shortage of food and medical supplies for nearly 4 months. Its residents have had to eat leaves to survive. Over 100 cases of loss of consciousness are reported daily due to severe starvation. Men, women, and children are unable to purchase food since prices have skyrocketed. 1 kg of rice now costs over $150. Molham Volunteering Team is working on providing food to the besieged city of Madaya, and will deliver all funds received to its desperately-needing residents.",737185,737185,0,737185,737185,0,3880,0,0,0,https://cdn.molhamteam.com/i/4nrx7VrJCu1LcKXRSdrK_thumb_1:1.jpg,2015,publishing_date,certain,2026-04-22T09:27:25.525207+00:00
8,https://molhamteam.com/en/campaigns/8,Medical Centers and Wounded Civilians Support Fund,,"Medical Centers and Wounded Civilians Support Fund
In addition to paying for individual medical treatments, Molham Volunteering Team provides the cost of transportation and living expenses to the injured. Moreover, the Team seeks to cover the rent and heating expenses of convalescent homes and rehabilitation centers in Syria and asylum countries. The Team currently pays for the following: - Diesel for medical transportation buses that drive patients to rehabilitation centers in Lattakia Countryside, Syria. - Rent for a convalescent home in Reyhanlı, Turkey. - Operation costs for an emergency center in Eastern Ghouta, Syria.","In addition to paying for individual medical treatments, Molham Volunteering Team provides the cost of transportation and living expenses to the injured. Moreover, the Team seeks to cover the rent and heating expenses of convalescent homes and rehabilitation centers in Syria and asylum countries. The Team currently pays for the following: - Diesel for medical transportation buses that drive patients to rehabilitation centers in Lattakia Countryside, Syria. - Rent for a convalescent home in Reyhanlı, Turkey. - Operation costs for an emergency center in Eastern Ghouta, Syria.",76445,76445,0,76445,76445,0,125,0,0,0,https://cdn.molhamteam.com/i/OsJ0J609ASLSpAFAfNPU_thumb_1:1.jpg,2015,publishing_date,certain,2026-04-22T09:27:25.546251+00:00
9,https://molhamteam.com/en/campaigns/9,Response Campaign for Lattakia Countryside,,"Response Campaign for Lattakia Countryside
An emergency campaign to provide bare necessities for families displaced after Russian airstrikes in Lattakia Countryside. Thousands of Syrians fled their homes to the Turkish border and are currently living out in the open with trees their only shelter. They have no tents, blankets, or even restrooms. We are working on delivering tents and blankets for them as soon as possible, as the weather is reaching near-zero temperatures.","An emergency campaign to provide bare necessities for families displaced after Russian airstrikes in Lattakia Countryside. Thousands of Syrians fled their homes to the Turkish border and are currently living out in the open with trees their only shelter. They have no tents, blankets, or even restrooms. We are working on delivering tents and blankets for them as soon as possible, as the weather is reaching near-zero temperatures.",16960,16960,0,16960,16960,0,117,0,0,0,https://cdn.molhamteam.com/i/0Iz9nyYMKYiqziVMA0BF_thumb_1:1.jpg,2015,publishing_date,certain,2026-04-22T09:27:25.565586+00:00
10,https://molhamteam.com/en/campaigns/10,Here's Douma,,"The city of Douma was the target of more than 15 airstrikes which injured over 200 and claimed the lives of 50 civilians, many of whom were students and teachers. Homes were reduced to rubble, and medical centers suffered significant damage. The goal of this campaign is to provide basic necessities to the people of Douma.",,20407,20407,0,20407,20407,0,162,0,0,0,https://cdn.molhamteam.com/i/5nw9VahG8sfze493b6Z7_thumb_1:1.jpg,2015,publishing_date,certain,2026-04-22T09:27:25.583811+00:00
11,https://molhamteam.com/en/campaigns/11,Emergency Campaign ... Palestine 48 to secure warmth for Syrians,,"Emergency Campaign ... Palestine 48 to secure warmth for Syrians
this campaign aims to provide winter gear for our people in refugee camps in Syria. In these camps, kids will be in danger because temperature reaches 0 °C. Therefore, our team is collecting donations to buy diesel, wood and clothes for these families...","this campaign aims to provide winter gear for our people in refugee camps in Syria. In these camps, kids will be in danger because temperature reaches 0 °C. Therefore, our team is collecting donations to buy diesel, wood and clothes for these families...",30000,30000,0,30000,30000,0,48,0,0,0,https://cdn.molhamteam.com/i/EZcXQWOW8YEcKUYniPN6_thumb_1:1.jpg,2016,publishing_date,certain,2026-04-22T09:27:25.603012+00:00
12,https://molhamteam.com/en/campaigns/12,providing formula milk for infants,,providing formula milk for infants,"molham volunteering team seeks to provide formula milk for infants in the under siege cities, illegal and forgotten refugee camps. where the bottle price in some regions reaches more than 10 USD , approximately 3600 Syrian pounds and it goes even higher in the under siege cities to exceed 5000 Syrian pound if any. due to the infant's essential need for the formula and to prevent any case of malnutrition, hereby we are launching this campaign to provide it for all infants in al rastan, moua'admiat alsham and the under siege ghouta",43331,43331,0,43331,43331,0,108,0,0,0,https://cdn.molhamteam.com/i/5GvfV1UPtAQISlGKAD0F_thumb_1:1.jpg,2016,publishing_date,certain,2026-04-22T09:27:25.621763+00:00
13,https://molhamteam.com/en/campaigns/13,Response - Emergency fund,,"We seek through that campaign to supply the essential materials for our families in scared cities that face bombs and for the trapped in the besieged cities. As well we are trying to supply same materials for the displaced people to North Syria after the last displacement from Homs,, Damascus suburb and Aleppo to Northern Syria.",,178692,178692,0,178692,178692,0,451,0,0,0,https://cdn.molhamteam.com/i/emaQUIq6HJ9XzHVa4TyS_thumb_1:1.jpg,2016,publishing_date,certain,2026-04-22T09:27:25.640107+00:00
14,https://molhamteam.com/en/campaigns/14,Response Campaign - Save Aleppo,,"Response Campaign - Save Aleppo
On February 5, 2016, we launched a campaign to respond to the needs of families in the city and Northern Countryside of Aleppo, as well as the displaced families stranded along the Turkish border. Aleppo has yet again been the target of heavy and brutal airstrikes for the past several days, renewing the need for instant relief. Molham Volunteering Team resumes the campaign (Save Aleppo) to provide basic necessities to families of the dead and wounded and those affected by the constant shelling of the city.","On February 5, 2016, we launched a campaign to respond to the needs of families in the city and Northern Countryside of Aleppo, as well as the displaced families stranded along the Turkish border. Aleppo has yet again been the target of heavy and brutal airstrikes for the past several days, renewing the need for instant relief. Molham Volunteering Team resumes the campaign (Save Aleppo) to provide basic necessities to families of the dead and wounded and those affected by the constant shelling of the city.",221307,221307,0,221307,221307,0,1447,0,0,0,https://cdn.molhamteam.com/i/NnjYQPnHWKaBhGc53vwu_thumb_1:1.jpg,2016,publishing_date,certain,2026-04-22T09:27:25.659247+00:00
